facilityId,facilityName,state,lat,lon,primaryFuel
3601,Sim Gideon,TX,30.1456,-97.2708,Pipeline Natural Gas
3604,J Robert Massengale Generating Station,TX,33.6039,-101.8408,Pipeline Natural Gas
3609,Leon Creek,TX,29.3511,-98.5753,Pipeline Natural Gas
3611,O W Sommers,TX,29.3078,-98.3244,Pipeline Natural Gas
3612,V H Braunig,TX,29.2575,-98.3828,Pipeline Natural Gas
3628,R W Miller,TX,32.6581,-98.3103,Pipeline Natural Gas
3631,Sam Rayburn Plant,TX,28.8947,-97.1347,Pipeline Natural Gas
3648,Gadsby,UT,40.7686,-111.9289,Pipeline Natural Gas
3734,Berlin 5,VT,44.2498,-72.6035,Diesel Oil
3754,Penny Lane Gas Turbine,VT,44.4817,-73.2241,Diesel Oil
3775,Clinch River,VA,36.9333,-82.1997,Natural Gas
3785,Tasley Energy Center,VA,37.7061,-75.7031,Diesel Oil
3796,Bremo Power Station,VA,37.7089,-78.2878,Pipeline Natural Gas
3797,Chesterfield Power Station,VA,37.3822,-77.3833,Pipeline Natural Gas
3804,Possum Point Power Station,VA,38.5367,-77.2806,Pipeline Natural Gas
3809,Yorktown Power Station,VA,37.2144,-76.4611,Residual Oil
3845,Centralia,WA,46.7559,-122.8578,Coal
3935,John E Amos,WV,38.4731,-81.8233,Diesel Oil
3943,Fort Martin Power Station,WV,39.7107,-79.9275,Coal
3944,Harrison Power Station,WV,39.3844,-80.3325,Coal
3946,Willow Island Power Station,WV,39.3672,-81.3006,Coal
3948,Mitchell (WV),WV,39.8297,-80.8153,Diesel Oil
3954,Mount Storm Power Station,WV,39.2014,-79.2667,Coal
3982,Bay Front,WI,46.5869,-90.9017,Wood
3991,Fitchburg Generating Station,WI,43.0149,-89.4603,Pipeline Natural Gas
3992,Blount Street,WI,43.0792,-89.3739,Natural Gas
4005,French Island,WI,43.8298,-91.26,Diesel Oil
4014,Wheaton Generating Plant,WI,44.8864,-91.5158,Pipeline Natural Gas
4040,Port Washington Generating Station,WI,43.3842,-87.8689,Pipeline Natural Gas
4041,South Oak Creek,WI,42.8457,-87.8294,Coal
4042,Valley (WEPCO),WI,43.0303,-87.9233,Pipeline Natural Gas
4050,Edgewater (4050),WI,43.715,-87.7094,Coal
4057,Rock River,WI,42.5831,-89.0292,Pipeline Natural Gas
4059,Sheepskin,WI,42.8347,-89.1108,Natural Gas
4072,Pulliam,WI,44.5397,-88.0083,Pipeline Natural Gas
4076,West Marinette,WI,45.0869,-87.6881,Pipeline Natural Gas
4078,Weston,WI,44.8606,-89.6553,Coal
4125,Manitowoc,WI,44.082,-87.6558,Petroleum Coke
4143,Genoa,WI,43.5592,-91.2333,Coal
4158,Dave Johnston,WY,42.8378,-105.7769,Coal
4162,Naughton,WY,41.7572,-110.5986,Pipeline Natural Gas
4195,Power Lane Steam Plant,TX,33.1707,-96.1264,Pipeline Natural Gas
4266,Spencer,TX,33.1978,-97.1067,Pipeline Natural Gas
4271,J P Madgett,WI,44.3026,-91.9126,Coal
4937,T C Ferguson Power Plant,TX,30.558,-98.3705,Pipeline Natural Gas
4939,Barney M. Davis,TX,27.6067,-97.3119,Pipeline Natural Gas
4940,Riverside (4940),OK,35.9978,-95.9567,Pipeline Natural Gas
4941,Navajo Generating Station,AZ,36.9047,-111.3886,Coal
5083,Cumberland Energy Center,NJ,39.3757,-74.9654,Pipeline Natural Gas
6002,James H Miller Jr,AL,33.6319,-87.0597,Coal
6004,Pleasants Power Station,WV,39.3668,-81.2944,Coal
6009,White Bluff,AR,34.4236,-92.1392,Coal
6013,Olive,CA,34.1775,-118.3147,Pipeline Natural Gas
6016,Duck Creek,IL,40.4663,-89.9841,Coal
6017,Newton,IL,38.9361,-88.2778,Coal
6018,East Bend,KY,38.9031,-84.8511,Coal
6019,W H Zimmer Generating Station,OH,38.8689,-84.2286,Pipeline Natural Gas
6021,Craig,CO,40.4627,-107.5912,Coal
6030,Coal Creek,ND,47.3761,-101.1567,Coal
6034,Belle River,MI,42.7748,-82.4945,Pipeline Natural Gas
6035,Greenwood,MI,43.1056,-82.6964,Pipeline Natural Gas
6041,H L Spurlock,KY,38.7,-83.8175,Coal
6042,Manatee,FL,27.6058,-82.3456,Pipeline Natural Gas
6043,Martin,FL,27.0536,-80.5628,Pipeline Natural Gas
6046,Debary,FL,28.9047,-81.3319,Pipeline Natural Gas
6052,Wansley (6052),GA,33.4124,-85.0345,Diesel Oil
